id;fintech_name;agreement_date;fldg_perecentage;guarantee_type;guarantee_details;agreement_no;date_created;created_by_id;date_updated;updated_by_id
1;Views e-enable Communications;2023-09-14T20:19:57;92187;Awesome;Aruba;software scale interactive;2023-09-14T17:53:50;58675;2023-09-15T05:13:29;96525
2;Home Loan Account;2023-09-15T07:09:46;14092;back-end;Industrial;index orange;2023-09-15T13:39:15;1407;2023-09-14T18:12:57;19884
3;monitor 1080p Checking Account;2023-09-14T15:33:21;35846;Frozen IB;Highway Ergonomic;moratorium moratorium;2023-09-14T20:16:35;59129;2023-09-14T22:29:08;27472
4;Mississippi embrace Developer;2023-09-14T17:24:47;76078;Idaho compress Avon;system Small;Intelligent Outdoors;2023-09-14T22:30:47;47537;2023-09-15T06:14:32;56327
5;European Unit of Account 9(E.U.A.-9) Concrete;2023-09-14T23:16:51;41038;override User-centric;Money Market Account;Salad Web virtual;2023-09-14T22:35:07;10549;2023-09-14T16:52:19;45653
6;mint green e-business EXE;2023-09-15T06:00:09;80744;National;Direct;Profit-focused;2023-09-15T03:32:11;52;2023-09-14T18:09:17;35256
7;ability Hat Iraq;2023-09-15T02:09:04;22210;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;2023-09-14T14:27:52;25391;2023-09-14T14:41:18;24687
8;Moroccan Dirham;2023-09-14T20:41:33;30087;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;2023-09-15T08:02:15;68070;2023-09-15T10:18:34;53093
9;Way Dominican Republic;2023-09-14T23:33:44;67213;navigate;Re-contextualized;web-enabled invoice withdrawal;2023-09-15T00:55:42;81643;2023-09-15T11:37:12;79834
10;Gloves Bedfordshire Argentine Peso;2023-09-14T17:11:11;59089;Algerian Dinar;firewall;Future-proofed deposit Sausages;2023-09-14T21:12:16;39757;2023-09-15T04:30:19;51775
