id;repayement_amount;zkp_code;date_created;created_by_id;date_updated;updated_by_id
1;37454;Directives application Home Loan Account;2023-09-15T10:02:32;44583;2023-09-15T10:02:35;9997
2;5808;FTP Savings Account;2023-09-14T20:47:36;65088;2023-09-15T13:17:34;5641
3;96990;parsing red Chips;2023-09-15T09:23:06;61748;2023-09-15T06:29:06;61165
4;52475;web-readiness;2023-09-15T06:47:50;52477;2023-09-14T23:06:09;39986
5;13949;zero administration;2023-09-15T04:59:39;23277;2023-09-15T02:50:28;9060
6;78517;grey Cambridgeshire;2023-09-14T23:34:08;46676;2023-09-15T12:40:19;85994
7;60754;Table Small Frozen Sausages Planner;2023-09-14T18:23:08;38541;2023-09-15T06:28:34;1596
8;9767;Nakfa;2023-09-15T03:13:24;68326;2023-09-15T10:51:28;60999
9;49517;Games Regional Digitized;2023-09-14T21:53:11;75536;2023-09-15T06:18:21;42515
10;52006;Mayotte;2023-09-15T09:21:01;3131;2023-09-14T14:31:01;84228
